"code","year","n","beta","se","p","r2"
"600276",2020,243,0.703193822679536,0.0746676045811893,3.90674506991804e-18,0.269015263633684
"600900",2020,243,0.308020528171994,0.0501318901653838,3.29841502730127e-09,0.1354298393536
"600519",2021,243,1.34837127562123,0.0956116916964367,2.46417890126415e-33,0.45212665340005
"600036",2021,243,1.03486345428317,0.0932328205589543,2.15416112393885e-23,0.338284819799264
"300750",2021,243,1.56978520035847,0.157059476372266,6.67999761440407e-20,0.293041461586452
"000333",2021,243,1.16031919194977,0.104384765869256,1.91328213024078e-23,0.338930569092839
"600276",2021,243,1.03162132926745,0.108036026889758,1.56327823925721e-18,0.274491490346903
"600900",2021,233,0.171086793006599,0.072815470765673,0.0196369524846778,0.0233408512368329
"600519",2022,242,1.0958846265405,0.0651391390853359,1.75597864039152e-42,0.541142837047571
"600036",2022,242,1.2316082871641,0.083717229454709,2.35505503056673e-35,0.474178930509442
"300750",2022,242,1.47921466331949,0.123091093918001,2.34690826224022e-26,0.375673019630821
"000333",2022,242,1.15176756831284,0.0767762453463652,2.46984078305112e-36,0.483924696588964
"600276",2022,242,0.987397996932996,0.0973840616864505,2.44735239382034e-20,0.299890855942444
"600900",2022,241,0.405189039757805,0.0656021001524664,2.79655710785145e-09,0.13764708746868
"600519",2023,242,0.988810972797891,0.0740984882013111,9.30924591667754e-31,0.425943084170237
"600036",2023,242,1.16129555495333,0.0764783371194366,5.95030416849451e-37,0.489983605776819
"300750",2023,242,1.24711406918431,0.124543992589938,6.01414532783586e-20,0.294675733589308
"000333",2023,242,0.95827560455113,0.0973959510002395,2.07807854969179e-19,0.287422103954231
"600276",2023,242,0.807759886388525,0.134047880329858,6.2860280292918e-09,0.131415211933341
"600900",2023,242,0.151347256525516,0.068047152023493,0.0270692316241496,0.0201956265337811
"600519",2024,242,0.928767390639391,0.0574387969498576,2.80727591430167e-40,0.521396364619872
"600036",2024,242,0.765245437304673,0.0566323426865909,2.55008852224923e-31,0.432071072815698
"300750",2024,242,1.6023153207349,0.0911739054229184,5.31213617409088e-45,0.562726162151613
"000333",2024,242,0.589787779271108,0.0707910786985005,6.17769854448277e-15,0.2243351588637
"600276",2024,242,1.00987592533666,0.0769204613120265,4.8944793265889e-30,0.417993131858219
"600900",2024,242,0.127634908410911,0.0527442407898245,0.0162694069930163,0.0238181667175435
"600519",2025,243,0.591349883280413,0.0600306923068341,1.86145363213137e-19,0.287062632227877
"600036",2025,243,0.346471100320558,0.0727404755237178,3.29367056590748e-06,0.0860384615895067
"300750",2025,243,1.63243060917837,0.114240636544427,5.77206488497245e-34,0.458654534264257
"000333",2025,243,0.510248464051607,0.0804316433501551,1.0988222155638e-09,0.143095198553606
"600276",2025,243,0.931431106178642,0.117530786478376,8.44186828900072e-14,0.206729499182233
"600900",2025,243,0.0810159266107866,0.050066695455067,0.106936097000399,0.0107481270244852
