"code","date","beta","se","lo","hi"
"600276",2025-08-19,0.764918447185635,0.184027298943811,0.404224941255766,1.1256119531155
"600276",2025-08-20,0.776951313912523,0.183689198442101,0.416920484966005,1.13698214285904
"600276",2025-08-21,0.780486444666103,0.183954350619766,0.419935917451363,1.14103697188084
"600276",2025-08-22,0.718883725751349,0.18239469478184,0.361390123978942,1.07637732752376
"600276",2025-08-25,0.722955476908708,0.179135869372202,0.371849172939192,1.07406178087822
"600276",2025-08-26,0.728806431313299,0.179388132589366,0.377205691438141,1.08040717118846
"600276",2025-08-27,0.767850643464583,0.178787060124997,0.417428005619589,1.11827328130958
"600276",2025-08-28,0.745321089281467,0.178381079389554,0.395694173677941,1.09494800488499
"600276",2025-08-29,0.762399779498455,0.181235328014852,0.407178536589345,1.11762102240756
"600276",2025-09-01,0.771431199875745,0.182477363250559,0.41377556790465,1.12908683184684
"600276",2025-09-02,0.764880417145642,0.182012518914833,0.408135880072568,1.12162495421872
"600276",2025-09-03,0.728992980680902,0.185958978875701,0.364513382084529,1.09347257927728
"600276",2025-09-04,0.795670095443903,0.184406511547113,0.434233332811562,1.15710685807625
"600276",2025-09-05,0.834407595680751,0.187252471372689,0.467392751790281,1.20142243957122
"600276",2025-09-08,0.833370023625637,0.187412184217682,0.46604214255898,1.20069790469229
"600276",2025-09-09,0.843653714040642,0.187272333958196,0.476599939482578,1.21070748859871
"600276",2025-09-10,0.842361222795751,0.187359617633143,0.475136372234791,1.20958607335671
"600276",2025-09-11,0.742683078109577,0.188885232162958,0.37246802307018,1.11289813314898
"600276",2025-09-12,0.693715548692843,0.189171790311945,0.32293883968143,1.06449225770426
"600276",2025-09-15,0.699250641246547,0.18871418820589,0.329370832363001,1.06913045013009
"600276",2025-09-16,0.700853969072496,0.188490966838238,0.331411674069551,1.07029626407544
"600276",2025-09-17,0.714981108671989,0.186898033797485,0.348660962428919,1.08130125491506
"600276",2025-09-18,0.686836542419573,0.183159925907765,0.327843087640353,1.04582999719879
"600276",2025-09-19,0.689823192411618,0.184395082937018,0.328408829855064,1.05123755496817
