date,open,high,low,close
2017-05-26,1379.93,1389.11,1366.27,1386.76
2017-05-31,1388.67,1414.73,1383.57,1410.2
2017-06-01,1407.08,1438.24,1397.73,1437.67
2017-06-02,1427.47,1434.84,1402.55,1418.41
2017-06-05,1412.75,1416.14,1375.64,1381.31
2017-06-06,1379.61,1401.98,1372.81,1401.7
2017-06-07,1400.85,1426.91,1400.28,1425.77
2017-06-08,1426.62,1460.05,1424.64,1451.83
2017-06-09,1454.38,1466.84,1437.39,1448.43
2017-06-12,1449.0,1466.84,1438.8,1450.98
2017-06-13,1451.55,1454.1,1427.47,1438.8
2017-06-14,1438.8,1443.33,1424.92,1439.37
2017-06-15,1439.37,1439.37,1413.03,1430.87
2017-06-16,1424.36,1466.28,1424.08,1454.66
2017-06-19,1444.47,1451.55,1420.68,1423.79
2017-06-20,1424.64,1428.89,1389.24,1396.32
2017-06-21,1401.98,1416.43,1384.14,1415.86
2017-06-22,1413.31,1427.47,1399.72,1402.27
2017-06-23,1401.98,1428.61,1399.15,1419.83
2017-06-26,1425.77,1450.7,1418.69,1447.02
2017-06-27,1447.58,1454.38,1433.99,1447.3
2017-06-28,1439.37,1443.62,1416.14,1418.98
2017-06-29,1416.43,1441.07,1416.14,1433.7
2017-06-30,1432.57,1438.8,1419.26,1432.86
2017-07-03,1437.39,1444.47,1416.14,1418.41
2017-07-04,1413.31,1416.14,1387.82,1392.92
2017-07-05,1391.22,1409.91,1388.67,1409.06
2017-07-06,1409.06,1409.63,1390.37,1395.47
2017-07-07,1393.49,1393.49,1379.33,1382.72
2017-07-10,1380.17,1403.68,1371.11,1396.89
2017-07-11,1397.17,1407.36,1393.77,1402.55
2017-07-12,1409.06,1410.2,1384.99,1389.8
2017-07-13,1390.94,1404.25,1386.41,1390.65
2017-07-14,1387.82,1387.82,1376.49,1379.61
2017-07-17,1379.33,1401.7,1371.39,1388.95
2017-07-18,1391.5,1420.68,1388.11,1419.83
2017-07-19,1422.38,1443.05,1417.84,1430.59
2017-07-20,1424.08,1442.77,1416.14,1426.62
2017-07-21,1427.47,1432.57,1411.61,1413.6
2017-07-24,1413.88,1426.91,1411.9,1417.84
2017-07-25,1416.14,1432.86,1415.58,1419.54
2017-07-26,1421.24,1427.47,1413.31,1422.66
2017-07-27,1422.94,1430.31,1411.9,1429.46
2017-07-28,1433.14,1454.1,1430.31,1441.35
2017-07-31,1452.11,1452.4,1437.67,1450.13
2017-08-01,1449.57,1454.38,1440.5,1452.96
2017-08-02,1448.15,1452.96,1418.41,1422.94
2017-08-03,1420.39,1430.02,1415.58,1419.26
2017-08-04,1418.13,1428.89,1415.86,1419.83
2017-08-07,1419.26,1439.94,1409.91,1436.54
2017-08-08,1440.22,1448.43,1433.14,1437.1
2017-08-09,1437.39,1520.66,1434.27,1499.41
2017-08-10,1491.48,1509.61,1478.74,1489.5
2017-08-11,1486.39,1509.33,1481.85,1505.08
2017-08-14,1505.36,1562.86,1505.36,1556.34
2017-08-15,1557.76,1562.29,1534.53,1544.73
2017-08-16,1544.73,1560.87,1526.6,1531.42
2017-08-17,1529.44,1529.44,1510.74,1517.82
2017-08-18,1513.29,1529.15,1512.44,1521.22
2017-08-21,1521.79,1556.91,1521.51,1552.09
2017-08-22,1549.55,1553.23,1531.42,1535.95
2017-08-23,1531.7,1560.87,1529.44,1546.43
2017-08-24,1547.0,1553.79,1540.77,1551.81
2017-08-25,1555.21,1576.17,1546.43,1548.98
2017-08-28,1545.01,1562.01,1518.11,1530.0
2017-08-29,1535.1,1538.78,1518.11,1529.44
2017-08-30,1533.97,1540.2,1523.77,1531.42
2017-08-31,1522.92,1534.82,1517.26,1533.4
2017-09-01,1536.8,1581.83,1536.8,1577.02
2017-09-04,1578.15,1675.3,1577.02,1654.34
2017-09-05,1646.13,1659.72,1635.65,1648.96
2017-09-06,1643.01,1648.68,1619.79,1630.27
2017-09-07,1628.57,1683.51,1616.67,1653.21
2017-09-08,1658.31,1698.81,1644.71,1683.23
2017-09-11,1682.38,1682.38,1648.39,1654.62
2017-09-12,1652.64,1654.06,1622.9,1650.66
2017-09-13,1644.14,1662.55,1634.23,1654.91
2017-09-14,1651.79,1678.98,1634.23,1635.65
2017-09-15,1630.83,1650.66,1628.57,1649.24
2017-09-18,1654.34,1675.3,1650.38,1659.72
2017-09-19,1659.72,1670.77,1654.06,1664.54
2017-09-20,1664.54,1675.58,1662.84,1667.65
2017-09-21,1669.63,1670.48,1643.01,1649.53
2017-09-22,1642.73,1658.31,1640.46,1646.69
2017-09-25,1649.81,1656.89,1631.97,1646.13
2017-09-26,1641.03,1654.34,1636.5,1644.99
2017-09-27,1665.39,1670.77,1646.98,1655.19
2017-09-28,1656.61,1702.77,1655.19,1701.64
2017-09-29,1712.12,1726.85,1693.71,1697.39
2017-10-09,1722.03,1807.0,1716.65,1754.6
2017-10-10,1753.19,1783.49,1694.56,1725.43
2017-10-11,1730.53,1780.94,1730.53,1767.07
2017-10-12,1768.48,1802.75,1768.48,1782.36
2017-10-13,1783.78,1787.17,1758.85,1781.79
2017-10-16,1781.23,1811.25,1768.76,1784.34
2017-10-17,1785.76,1808.98,1774.71,1807.28
2017-10-18,1808.98,1811.25,1793.12,1802.19
2017-10-19,1800.77,1855.15,1798.5,1853.17
2017-10-20,1851.75,1851.75,1823.99,1840.42
2017-10-23,1840.99,1863.93,1828.53,1844.1
2017-10-24,1842.12,1856.57,1835.32,1836.74
2017-10-25,1836.74,1901.88,1830.23,1892.25
2017-10-26,1853.17,1917.18,1853.17,1876.96
2017-10-27,1878.94,1878.94,1850.05,1865.91
2017-10-30,1865.91,1877.24,1835.32,1841.27
2017-10-31,1837.59,1914.63,1835.32,1904.15
2017-11-01,1914.63,1946.35,1894.8,1940.4
2017-11-02,1942.38,1995.06,1925.96,1956.26
2017-11-03,1965.61,2078.62,1959.94,2037.83
2017-11-06,2038.97,2162.17,2013.76,2144.04
2017-11-07,2140.93,2178.6,2036.42,2047.75
2017-11-08,2031.32,2035.0,1984.59,1995.91
2017-11-09,1982.6,2013.76,1957.11,2010.36
2017-11-10,2010.93,2033.87,1966.18,2025.65
2017-11-13,2019.42,2019.42,1960.23,1966.74
2017-11-14,1968.44,1990.53,1895.65,1899.62
